n,Recursive,Memoization,Bottom-Up
1,0.000003600,0.000001900,0.000001600
2,0.000001000,0.000000800,0.000000700
3,0.000001900,0.000001400,0.000001000
4,0.000001900,0.000001700,0.000001000
5,0.000002400,0.000001800,0.000000900
6,0.000003000,0.000001800,0.000001000
7,0.000003700,0.000002000,0.000001000
8,0.000491300,0.000003200,0.000001200
9,0.000036500,0.000002400,0.000001500
10,0.000076200,0.000002700,0.000001200
11,0.000003900,0.000002900,0.000001000
12,0.000006100,0.000011700,0.000001400
13,0.000007400,0.000003300,0.000001400
14,0.000010500,0.000003300,0.000001300
15,0.000018800,0.000003800,0.000001200
16,0.000076000,0.000018000,0.000001300
17,0.000073300,0.000013500,0.000001600
18,0.000033800,0.000002100,0.000002500
19,0.000056300,0.000001800,0.000002000
20,0.000080800,0.000001300,0.000001900
21,0.000136400,0.000014800,0.000002300
22,0.000228200,0.000001700,0.000001600
23,0.000316300,0.000001900,0.000002400
24,0.000533700,0.000003400,0.000004500
25,0.000825100,0.000003000,0.000003200
26,0.001364900,0.000002500,0.000003100
27,0.002426300,0.000003700,0.000002800
28,0.004110200,0.000003900,0.000002800
29,0.005384200,0.000002300,0.000002400
30,0.008787600,0.000002300,0.000001900
31,0.016300600,0.000003200,0.000002200
32,0.023678900,0.000002900,0.000002100
33,0.039191500,0.000003300,0.000002600
34,0.059560600,0.000002700,0.000002300
35,0.096886200,0.000002800,0.000002000
36,0.157531200,0.000017500,0.000002900
37,0.263256900,0.000003700,0.000002700
38,0.429877100,0.000003600,0.000003100
39,0.692690800,0.000002800,0.000002300
40,1.101826700,0.000002800,0.000002300
